,Player,Rec,Yds,TD,X20.,X40.,Rec.1st,X1st.,Rec.FUM,Rec.YAC.R,Tgts,Salary,catchRate,X20.39
206,Ja'Marr Chase,127,1708,17,19,8,75,59.1,0,787,175,"$1,055,000 ",0.725714286,11
18,Amon-Ra St. Brown,115,1263,12,14,1,71,61.7,1,412,141,"$1,366,000 ",0.815602837,13
57,Brock Bowers,112,1194,5,15,1,61,54.5,0,596,153,"$795,000 ",0.732026144,14
454,Trey McBride,111,1146,2,10,0,63,56.8,0,513,147,"$1,277,697 ",0.755102041,10
330,Malik Nabers,109,1204,7,16,2,55,50.5,1,462,170,"$795,000 ",0.641176471,14
288,Justin Jefferson,103,1533,10,28,4,62,60.2,1,487,154,"$1,125,000 ",0.668831169,24
76,CeeDee Lamb,101,1194,6,16,4,54,53.5,1,537,152,"$1,150,000 ",0.664473684,12
177,Garrett Wilson,101,1104,7,16,1,60,59.4,2,442,154,"$985,000 ",0.655844156,15
158,Drake London,100,1271,9,12,0,67,67,0,327,158,"$985,000 ",0.632911392,12
241,Jaxon Smith-Njigba,100,1130,6,14,2,55,55,1,477,137,"$955,332 ",0.729927007,12
153,DJ Moore,98,966,6,11,1,43,43.9,1,588,140," $3,000,000 ",0.7,10
446,Travis Kelce,97,823,3,9,0,45,46.4,2,341,133,"$5,750,000 ",0.729323308,9
483,Wan'Dale Robinson,93,699,3,4,0,36,38.7,0,361,140,"1,449,106",0.664285714,4
253,Jerry Jeudy,90,1229,4,13,3,57,63.3,0,387,145,"$1,125,000 ",0.620689655,10
266,Jonnu Smith,88,884,8,4,1,55,62.5,2,510,111,"$1,210,000 ",0.792792793,3
55,Brian Thomas Jr.,87,1282,10,18,7,53,60.9,0,562,133,"$795,000 ",0.654135338,11
218,Jakobi Meyers,87,1027,4,16,1,52,59.8,0,293,129,"$5,000,000 ",0.674418605,15
124,Davante Adams,85,1063,8,16,3,49,57.6,0,473,141,"$806,667 ",0.602836879,13
318,Ladd McConkey,82,1149,7,15,4,52,63.4,2,390,112,"$795,000 ",0.732142857,11
436,Terry McLaurin,82,1096,13,12,5,56,68.3,0,292,117,"$15,150,000 ",0.700854701,7
103,Courtland Sutton,81,1081,8,17,1,57,70.4,1,179,135,"$1,125,000 ",0.6,16
477,Tyreek Hill,81,959,6,13,1,54,66.7,0,292,123,"$1,210,000 ",0.658536585,12
381,Puka Nacua,79,990,3,11,1,47,59.5,0,518,106,"$915,000 ",0.745283019,10
132,De'Von Achane,78,592,6,3,0,30,38.5,1,665,87,NA,0.896551724,3
180,George Kittle,78,1106,8,21,2,50,64.1,0,522,94,"$1,210,000 ",0.829787234,19
238,Jauan Jennings,77,975,6,12,1,47,61,1,212,113,"$1,055,000 ",0.681415929,11
311,Khalil Shakir,76,821,4,9,2,35,46,1,597,100,"$985,000 ",0.76,7
350,Mike Evans,74,1004,11,15,1,53,71.6,0,226,110,"$1,210,000 ",0.672727273,14
499,Zay Flowers,74,1059,4,19,4,48,64.9,0,463,116,"$978,020 ",0.637931034,15
433,Tee Higgins,73,911,10,12,1,48,65.8,1,228,109,"$21,816,000 ",0.669724771,11
275,Josh Downs,72,803,5,10,1,40,55.6,0,393,107,"$1,000,930 ",0.672897196,9
299,Keenan Allen,70,744,7,9,2,43,61.4,1,240,121,"$18,100,000 ",0.578512397,7
346,Michael Pittman,69,808,3,12,0,35,50.7,1,259,111,"8,000,000",0.621621622,12
15,Alvin Kamara,68,543,2,7,1,18,26.5,1,542,89,NA,0.764044944,6
148,DeVonta Smith,68,833,8,14,4,42,61.8,0,299,89,"$1,055,000 ",0.764044944,10
364,Nico Collins,68,1006,7,14,4,48,70.6,0,365,99,"$1,616,000 ",0.686868687,10
1,A.J. Brown,67,1079,7,17,5,51,76.1,0,353,97,"$1,125,000 ",0.690721649,12
101,Cooper Kupp,67,710,6,10,1,28,41.8,1,269,100,"$15,000,000 ",0.67,9
