Player,Team,Salary
Tee Higgins,NA,"$21,816,000 "
Chris Godwin,NA,"$20,000,000 "
Keenan Allen,NA,"$18,100,000 "
Terry McLaurin,NA,"$15,150,000 "
Cooper Kupp,NA,"$15,000,000 "
Christian Kirk,NA,"$14,500,000 "
Allen Lazard,NA,"$10,000,000 "
Brandin Cooks,NA,"$8,000,000 "
Michael Pittman Jr.,NA,"$8,000,000 "
Robert Woods,NA,"$6,250,000 "
Adam Thielen,NA,"$5,500,000 "
Jakobi Meyers,NA,"$5,000,000 "
Tyler Lockett,NA,"$4,660,000 "
Calvin Ridley,NA,"$4,490,000 "
Marquise Brown,NA,"$3,500,000 "
Elijah Moore,NA,"$3,116,000 "
Josh Palmer,NA,"$3,116,000 "
D.J. Moore,NA,"$3,000,000 "
Darius Slayton,NA,"$2,500,000 "
Demarcus Robinson,NA,"$2,500,000 "
NA,NA,NA
Ashton Dulin,NA,"$2,180,000 "
Darnell Mooney,NA,"$2,000,000 "
Zach Pascal,NA,"$1,920,000 "
Jameson Williams,NA,"$1,892,435 "
Justin Watson,NA,"$1,870,000 "
Nick Westbrook,NA,"$1,832,500 "
Nico Collins,NA,"$1,616,000 "
Rondale Moore,NA,"$1,604,215 "
Jahan Dotson,NA,"$1,573,082 "
Treylon Burks,NA,"$1,567,576 "
Christian Watson,NA,"$1,545,094 "
Mack Hollins,NA,"$1,540,000 "
DJ Chark,NA,"$1,500,000 "
Gabriel Davis,NA,"$1,500,000 "
TuTu Atwell,NA,"$1,465,731 "
Wan'dale Robinson,NA,"$1,449,106 "
Tyler Boyd,NA,"$1,440,000 "
John Metchie,NA,"$1,438,652 "
Braxton Berrios,NA,"$1,400,000 "
Kalif Raymond,NA,"$1,400,000 "
NA,NA,NA
Amon-Ra St. Brown,NA,"$1,366,000 "
Cedrick Wilson,NA,"$1,350,000 "
Trent Sherfield,NA,"$1,340,000 "
Dyami Brown,NA,"$1,334,181 "
George Pickens,NA,"$1,318,834 "
Alec Pierce,NA,"$1,305,122 "
Kendrick Bourne,NA,"$1,300,000 "
Skyy Moore,NA,"$1,291,409 "
Jamison Crowder,NA,"$1,260,000 "
Devin Duvernay,NA,"$1,250,000 "
Allen Robinson,NA,"$1,210,000 "
Chris Conley,NA,"$1,210,000 "
Curtis Samuel,NA,"$1,210,000 "
JuJu Smith-Schuster,NA,"$1,210,000 "
Mike Evans,NA,"$1,210,000 "
Nelson Agholor,NA,"$1,210,000 "
Noah Brown,NA,"$1,210,000 "
Stefon Diggs,NA,"$1,210,000 "
Sterling Shepard,NA,"$1,210,000 "
Tyreek Hill,NA,"$1,210,000 "
NA,NA,NA
Jalen Tolbert,NA,"$1,171,884 "
Brandon Powell,NA,"$1,150,000 "
CeeDee Lamb,NA,"$1,150,000 "
A.J. Brown,NA,"$1,125,000 "
Brandon Aiyuk,NA,"$1,125,000 "
Courtland Sutton,NA,"$1,125,000 "
D.K. Metcalf,NA,"$1,125,000 "
Dante Pettis,NA,"$1,125,000 "
David Moore,NA,"$1,125,000 "
Deandre Carter,NA,"$1,125,000 "
Deebo Samuel,NA,"$1,125,000 "
Deonte Harty,NA,"$1,125,000 "
Greg Dortch,NA,"$1,125,000 "
Gunner Olszewski,NA,"$1,125,000 "
Jalen Reagor,NA,"$1,125,000 "
James Proche,NA,"$1,125,000 "
Jerry Jeudy,NA,"$1,125,000 "
Justin Jefferson,NA,"$1,125,000 "
Khadarel Hodge,NA,"$1,125,000 "
Marquez Valdes-Scantling,NA,"$1,125,000 "
NA,NA,NA
Mecole Hardman,NA,"$1,125,000 "
Olamide Zaccheaus,NA,"$1,125,000 "
Ray-Ray McCloud,NA,"$1,125,000 "
River Cracraft,NA,"$1,125,000 "
Steven Sims Jr.,NA,"$1,125,000 "
Tim Patrick,NA,"$1,125,000 "
Van Jefferson,NA,"$1,125,000 "
Jayden Reed,NA,"$1,076,399 "
Ben Skowronek,NA,"$1,055,000 "
Collin Johnson,NA,"$1,055,000 "
D'Wayne Eskridge,NA,"$1,055,000 "
Dan Chisena,NA,"$1,055,000 "
DeVonta Smith,NA,"$1,055,000 "
Ihmir Smith-Marsette,NA,"$1,055,000 "
Ja'Marr Chase,NA,"$1,055,000 "
Jauan Jennings,NA,"$1,055,000 "
Jaylen Waddle,NA,"$1,055,000 "
