Player,Team,Salary
Cole Kmet,NA,"$9,900,000 "
Mark Andrews,NA,"$7,000,000 "
Travis Kelce,NA,"$5,750,000 "
Mo Alie-Cox,NA,"$5,410,000 "
Dalton Schultz,NA,"$5,000,000 "
Josh Oliver,NA,"$4,700,000 "
Gerald Everett,NA,"$4,060,000 "
Foster Moreau,NA,"$3,420,000 "
John Bates,NA,"$3,116,000 "
Kylen Granson,NA,"$3,116,000 "
Tyler Higbee,NA,"$3,000,000 "
Tommy Tremble,NA,"$2,839,213 "
Noah Fant,NA,"$2,490,000 "
Dawson Knox,NA,"$2,410,000 "
Drew Sample,NA,"$2,250,000 "
Evan Engram,NA,"$2,000,000 "
Hunter Henry,NA,"$1,650,000 "
Marcedes Lewis,NA,"$1,600,000 "
Adam Trautman,NA,"$1,500,000 "
Colby Parkinson,NA,"$1,500,000 "
NA,NA,NA
Mike Gesicki,NA,"$1,500,000 "
Jordan Akins,NA,"$1,490,000 "
Pharaoh Brown,NA,"$1,440,000 "
Harrison Bryant,NA,"$1,378,000 "
Dalton Kincaid,NA,"$1,360,319 "
Hunter Long,NA,"$1,337,551 "
Ian Thomas,NA,"$1,300,000 "
Trey McBride,NA,"$1,277,697 "
Austin Hooper,NA,"$1,210,000 "
C.J. Uzomah,NA,"$1,210,000 "
Chris Manhertz,NA,"$1,210,000 "
David Njoku,NA,"$1,210,000 "
Geoff Swaim,NA,"$1,210,000 "
George Kittle,NA,"$1,210,000 "
Jonnu Smith,NA,"$1,210,000 "
MyCole Pruitt,NA,"$1,210,000 "
Taysom Hill,NA,"$1,210,000 "
Zach Ertz,NA,"$1,210,000 "
Jelani Woods,NA,"$1,193,407 "
Greg Dulcich,NA,"$1,183,104 "
NA,NA,NA
Sam LaPorta,NA,"$1,180,272 "
Michael Mayer,NA,"$1,173,348 "
Jeremy Ruckert,NA,"$1,163,628 "
Charlie Woerner,NA,"$1,160,000 "
T.J. Hockenson,NA,"$1,150,000 "
Luke Musgrave,NA,"$1,135,261 "
Dallas Goedert,NA,"$1,125,000 "
Durham Smythe,NA,"$1,125,000 "
Eric Saubert,NA,"$1,125,000 "
Hayden Hurst,NA,"$1,125,000 "
Irv Smith,NA,"$1,125,000 "
Johnny Mundt,NA,"$1,125,000 "
Josiah Deguara,NA,"$1,125,000 "
Juwan Johnson,NA,"$1,125,000 "
Nick Vannett,NA,"$1,125,000 "
Ross Dwelley,NA,"$1,125,000 "
Tanner Hudson,NA,"$1,125,000 "
Tyler Conklin,NA,"$1,125,000 "
Will Dissly,NA,"$1,125,000 "
Pat Freiermuth,NA,"$1,100,000 "
NA,NA,NA
Brevin Jordan,NA,"$1,055,000 "
Brock Wright,NA,"$1,055,000 "
Jack Stoll,NA,"$1,055,000 "
Kyle Pitts,NA,"$1,055,000 "
Luke Farrell,NA,"$1,055,000 "
Noah Gray,NA,"$1,055,000 "
Luke Schoonmaker,NA,"$1,034,849 "
Brenton Strange,NA,"$1,027,924 "
Darnell Washington,NA,"$993,360 "
Cade Otton,NA,"$985,000 "
Charlie Kolar,NA,"$985,000 "
Chig Okonkwo,NA,"$985,000 "
Connor Heyward,NA,"$985,000 "
Daniel Bellinger,NA,"$985,000 "
Feleipe Franks,NA,"$985,000 "
Grant Calcaterra,NA,"$985,000 "
Isaiah Likely,NA,"$985,000 "
Jake Ferguson,NA,"$985,000 "
John FitzPatrick,NA,"$985,000 "
Ko Kieft,NA,"$985,000 "
NA,NA,NA
Peyton Hendershot,NA,"$985,000 "
Quintin Morris,NA,"$985,000 "
Shane Zylstra,NA,"$985,000 "
Stone Smartt,NA,"$985,000 "
Teagan Quitoriano,NA,"$985,000 "
Tucker Kraft,NA,"$951,724 "
Andrew Ogletree,NA,"$915,000 "
Ben Sims,NA,"$915,000 "
Blake Whiteheart,NA,"$915,000 "
Brady Russell,NA,"$915,000 "
Brayden Willis,NA,"$915,000 "
Davis Allen,NA,"$915,000 "
Jake Tonges,NA,"$915,000 "
Josh Whyle,NA,"$915,000 "
Julian Hill,NA,"$915,000 "
Justin Shorter,NA,"$915,000 "
Lucas Krull,NA,"$915,000 "
Nate Adkins,NA,"$915,000 "
Payne Durham,NA,"$915,000 "
Travis Vokolek,NA,"$915,000 "
NA,NA,NA
Tucker Fisk,NA,"$915,000 "
Will Mallory,NA,"$915,000 "
Kenny Yeboah,NA,"$828,335 "
Jody Fortson,NA,"$820,556 "
A.J. Barner,NA,"$795,000 "
Ben Sinnott,NA,"$795,000 "
Brenden Bates,NA,"$795,000 "
Brevyn Spann-Ford,NA,"$795,000 "
Brock Bowers,NA,"$795,000 "
Cade Stover,NA,"$795,000 "
Cam Grandy,NA,"$795,000 "
Colson Yankoff,NA,"$795,000 "
Dallin Holker,NA,"$795,000 "
David Martin-Robinson,NA,"$795,000 "
Devin Culp,NA,"$795,000 "
E.J. Jenkins,NA,"$795,000 "
Erick All,NA,"$795,000 "
Ja'Tavion Sanders,NA,"$795,000 "
Jack Westover,NA,"$795,000 "
Jaheim Bell,NA,"$795,000 "
NA,NA,NA
Jared Wiley,NA,"$795,000 "
John Stephens,NA,"$795,000 "
Princeton Fant,NA,"$795,000 "
Tanner McLachlan,NA,"$795,000 "
Theo Johnson,NA,"$795,000 "
Tip Reiman,NA,"$795,000 "
Stephen Carlson,NA,"$597,500 "
Tyler Davis,NA,"$545,000 "
Dalton Keene,NA,"$495,000 "
Patrick Murtagh,NA,"$470,000 "
Donald Parham,NA,"$302,400 "
Mitchell Wilcox,NA,"$302,400 "
Sean McKeon,NA,"$302,400 "
Baylor Cupp,NA,"$225,000 "
Bernhard Seikovits,NA,"$225,000 "
Cole Turner,NA,"$225,000 "
James Mitchell,NA,"$225,000 "
Mason Pline,NA,"$225,000 "
Michael Jacobson,NA,"$225,000 "
Nikola Kalinic,NA,"$225,000 "
NA,NA,NA
Sammis Reyes,NA,"$225,000 "
Shawn Bowman,NA,"$225,000 "
Tanner Taula,NA,"$225,000 "
Thomas Yassmin,NA,"$225,000 "
Treyton Welch,NA,"$225,000 "
Zach Davidson,NA,"$225,000 "
Zack Kuntz,NA,"$225,000 "
Tommy Sweeney,NA,"$218,400 "
Eric Tomlinson,NA,"$191,700 "
Messiah Swinson,NA,"$187,500 "
Anthony Firkser,NA,"$168,000 "
Armani Rogers,NA,"$162,500 "
Zaire Mitchell-Paden,NA,"$150,000 "
Dylan Cook,NA,"$112,500 "
John Shenker,NA,"$112,500 "
Matt Sokol,NA,"$112,500 "
Thomas Odukoya,NA,"$112,500 "
Andrew Beck,NA,"$100,800 "
Jordan Murray,NA,"$87,500 "
Tyler Mabry,NA,"$87,500 "
NA,NA,NA
McCallan Castles,NA,"$75,000 "
Tre McKitty,NA,"$67,200 "
Dominique Dafney,NA,"$62,500 "
Albert Okwuegbunam,NA,"$50,400 "
Robert Tonyan Jr.,NA,"$42,600 "
Tyree Jackson,NA,"$37,500 "
Cameron Latu,NA,"$12,500 "
Joel Wilson,NA,$8 
