"","Player","Rec","Yds","TD","X20.","X40.","Rec.1st","X1st.","Rec.FUM","Rec.YAC.R","Tgts","Salary","catchRate","X20.39"
"1","Ja'Marr Chase",127,1708,17,19,8,75,59.1,0,787,175,1055000,0.725714286,11
"2","Amon-Ra St. Brown",115,1263,12,14,1,71,61.7,1,412,141,1366000,0.815602837,13
"3","Brock Bowers",112,1194,5,15,1,61,54.5,0,596,153,795000,0.732026144,14
"4","Trey McBride",111,1146,2,10,0,63,56.8,0,513,147,1277697,0.755102041,10
"5","Malik Nabers",109,1204,7,16,2,55,50.5,1,462,170,795000,0.641176471,14
"6","Justin Jefferson",103,1533,10,28,4,62,60.2,1,487,154,1125000,0.668831169,24
"7","CeeDee Lamb",101,1194,6,16,4,54,53.5,1,537,152,1150000,0.664473684,12
"8","Garrett Wilson",101,1104,7,16,1,60,59.4,2,442,154,985000,0.655844156,15
"9","Drake London",100,1271,9,12,0,67,67,0,327,158,985000,0.632911392,12
"10","Jaxon Smith-Njigba",100,1130,6,14,2,55,55,1,477,137,955332,0.729927007,12
"11","DJ Moore",98,966,6,11,1,43,43.9,1,588,140,3e+06,0.7,10
"12","Travis Kelce",97,823,3,9,0,45,46.4,2,341,133,5750000,0.729323308,9
"13","Wan'Dale Robinson",93,699,3,4,0,36,38.7,0,361,140,1449106,0.664285714,4
"14","Jerry Jeudy",90,1229,4,13,3,57,63.3,0,387,145,1125000,0.620689655,10
"15","Jonnu Smith",88,884,8,4,1,55,62.5,2,510,111,1210000,0.792792793,3
"16","Brian Thomas Jr.",87,1282,10,18,7,53,60.9,0,562,133,795000,0.654135338,11
"17","Jakobi Meyers",87,1027,4,16,1,52,59.8,0,293,129,5e+06,0.674418605,15
"18","Davante Adams",85,1063,8,16,3,49,57.6,0,473,141,806667,0.602836879,13
"19","Ladd McConkey",82,1149,7,15,4,52,63.4,2,390,112,795000,0.732142857,11
"20","Terry McLaurin",82,1096,13,12,5,56,68.3,0,292,117,15150000,0.700854701,7
"21","Courtland Sutton",81,1081,8,17,1,57,70.4,1,179,135,1125000,0.6,16
"22","Tyreek Hill",81,959,6,13,1,54,66.7,0,292,123,1210000,0.658536585,12
"23","Puka Nacua",79,990,3,11,1,47,59.5,0,518,106,915000,0.745283019,10
"25","George Kittle",78,1106,8,21,2,50,64.1,0,522,94,1210000,0.829787234,19
"26","Jauan Jennings",77,975,6,12,1,47,61,1,212,113,1055000,0.681415929,11
"27","Khalil Shakir",76,821,4,9,2,35,46,1,597,100,985000,0.76,7
"28","Mike Evans",74,1004,11,15,1,53,71.6,0,226,110,1210000,0.672727273,14
